Vaga,Ordem,Ministro nome,Estado origem,Alma mater,Indicacao presidencial,inicio,fim
3,12,NUNES MARQUES,PIAUÍ,UFPI,Bolsonaro,05/11/2020,16/05/2047
4,14,ANDRÉ MENDONÇA,SÃO PAULO,ITE,Bolsonaro,16/12/2021,27/12/2047
19,7,ALEXANDRE DE MORAES,SÃO PAULO,USP,Temer,22/03/2017,13/12/2043
17,7,DIAS TOFFOLI,SÃO PAULO,USP,Lula,23/10/2009,15/11/2042
13,17,ROBERTO BARROSO,RIO DE JANEIRO,UFRJ,Dilma,26/06/2013,11/03/2033
18,4,EDSON FACHIN,RIO GRANDE DO SUL,UFPR,Dilma,16/06/2015,08/02/2033
12,14,GILMAR MENDES,MATO GROSSO,UNB,FHC,20/06/2002,30/12/2030
2,12,CÁRMEN LÚCIA,MINAS GERAIS,PUC-MG,Lula,21/06/2006,19/04/2029
7,14,LUIZ FUX,RIO DE JANEIRO,UFRJ,Dilma,02/03/2011,26/04/2028
16,5,RICARDO LEWANDOWSKI,RIO DE JANEIRO,FDSBC,Lula,16/03/2006,11/05/2023
20,6,ROSA WEBER,RIO GRANDE DO SUL,UFRGS,Dilma,19/12/2011,02/10/2023
4,13,MARCO AURÉLIO,RIO DE JANEIRO,UFRJ,Collor,13/06/1990,12/07/2021
3,11,CELSO DE MELLO,SÃO PAULO,USP,Sarney,17/08/1989,13/10/2020
19,6,TEORI ZAVASCKI,SANTA CATARINA,UFRGS,Dilma,29/11/2012,19/01/2017
18,3,JOAQUIM BARBOSA,MINAS GERAIS,UNB,Lula,25/06/2003,31/07/2014
13,16,AYRES BRITTO,SERGIPE,UFS,Lula,25/06/2003,18/11/2012
19,5,CEZAR PELUSO,SÃO PAULO,UNIVERSIDADE CATÓLICA DE SANTOS,Lula,25/06/2003,03/09/2012
20,5,ELLEN GRACIE,RIO DE JANEIRO,UFRGS,FHC,14/12/2000,08/08/2011
7,13,EROS GRAU,RIO GRANDE DO SUL,MACKENZIE,Lula,30/06/2004,02/08/2010
17,6,MENEZES DIREITO,PARÁ,PUC-RJ,Lula,05/09/2007,01/09/2009
17,5,SEPÚLVEDA PERTENCE,MINAS GERAIS,UFMG,Sarney,17/05/1989,17/08/2007
2,11,NELSON JOBIM,RIO GRANDE DO SUL,UFRGS,FHC,15/04/1997,29/03/2006
16,4,CARLOS VELLOSO,MINAS GERAIS,UFMG,Collor,13/06/1990,19/01/2006
7,12,MAURÍCIO CORRÊA,MINAS GERAIS,UFMG,Itamar,15/12/1994,08/05/2004
13,15,ILMAR GALVÃO,BAHIA,UFRJ,Collor,26/06/1991,03/05/2003
19,4,SYDNEY SANCHES,SÃO PAULO,USP,Figueiredo,31/08/1984,27/04/2003
18,2,MOREIRA ALVES,SÃO PAULO,UFRJ,Geisel,20/06/1975,20/04/2003
12,13,NÉRI DA SILVEIRA,RIO GRANDE DO SUL,PUCRS,Figueiredo,01/09/1981,24/04/2002
20,4,OCTAVIO GALLOTTI,RIO DE JANEIRO,UFRJ,Figueiredo,20/11/1984,28/10/2000
2,10,FRANCISCO REZEK,MINAS GERAIS,UFMG,Collor,21/05/1992,05/02/1997

